original,short
I enjoy listening to music.,Music
Pop,Pop
Metal or Hard rock,Metal or Hardrock
I really enjoy watching movies.,Movies
Horror movies,Horror
Romantic movies,Romantic
Sci-fi movies,Sci-fi
Politics,Politics
Mathematics,Mathematics
Internet,Internet
Art,Art exhibitions
Religion,Religion
Sport and leisure activities,Passive sport
Socializing,Fun with friends
Public speaking,Fear of public speaking
Smoking habits,Smoking
Drinking,Alcohol
I live a very healthy lifestyle.,Healthy eating
I look at things from all different angles before I go ahead.,Thinking ahead
I believe that bad people will suffer one day and good people will be rewarded.,Final judgement
I am reliable at work and always complete all tasks given to me.,Reliability
I can be two faced sometimes.,Fake
I damaged things in the past when angry.,Criminal damage
I often think about and regret the decisions I make.,Self-criticism
I am emphatetic person.,Empathy
I try to give as much as I can to other people at Christmas.,Giving
I feel lonely in life.,Loneliness
I wish I could change the past because of the things I have done.,Changing the past
I believe in God.,God
I have lots of friends.,Number of friends
I enjoy meeting new people.,Socializing
I can get angry very easily.,Getting angry
I have to be well prepared before public speaking.,Public speaking
I am 100% happy with my life.,Happiness in life
I believe all my personality traits are positive.,Personality
How much time do you spend online?,Internet usage
I prefer branded clothing to non branded.,Branded clothing
I spend a lot of money on  partying and socializing.,Entertainment spending
Gender,Gender
I am,Left - right handed
Highest education achieved,Education